port,duration,pkt_size,rate,mbps,mpps,loss
0,60,64,1.0000,179.4048,0.3738,0.0000
1,60,64,1.0000,179.4043,0.3738,0.0000
2,60,64,1.0000,179.4052,0.3738,0.0000
3,60,64,1.0000,179.4047,0.3738,0.0000
0,60,64,2.0000,352.7225,0.7348,0.0083
1,60,64,2.0000,352.7220,0.7348,0.0084
2,60,64,2.0000,352.8186,0.7350,0.0000
3,60,64,2.0000,352.8181,0.7350,0.0000
0,60,64,3.0000,530.8813,1.1060,1.3354
1,60,64,3.0000,530.8592,1.1060,1.3396
2,60,64,3.0000,538.1651,1.1212,0.0000
3,60,64,3.0000,538.1651,1.1212,0.0000
0,60,64,4.0000,567.6534,1.1826,20.8417
1,60,64,4.0000,621.1422,1.2940,13.3819
2,60,64,4.0000,716.6468,1.4930,0.0030
3,60,64,4.0000,716.6565,1.4930,0.0008
0,60,64,5.0000,520.0383,1.0834,40.9852
1,60,64,5.0000,448.3571,0.9341,49.1202
2,60,64,5.0000,881.5055,1.8365,0.0084
3,60,64,5.0000,881.4218,1.8363,0.0179
0,60,64,6.0000,462.9725,0.9645,56.9566
1,60,64,6.0000,473.6885,0.9869,55.9601
2,60,64,6.0000,1074.4223,2.2384,0.0412
3,60,64,6.0000,1074.4777,2.2385,0.0360
0,60,64,7.0000,543.0710,1.1314,56.6943
1,60,64,7.0000,468.8130,0.9767,62.6158
2,60,64,7.0000,1251.4686,2.6072,0.0610
3,60,64,7.0000,1251.5299,2.6074,0.0543
0,60,64,8.0000,537.8707,1.1206,61.7923
1,60,64,8.0000,623.3066,1.2986,55.7251
2,60,64,8.0000,1404.2243,2.9255,0.0917
3,60,64,8.0000,1404.1497,2.9253,0.0967
0,60,64,9.0000,520.2388,1.0838,67.6792
1,60,64,9.0000,772.5848,1.6096,52.0447
2,60,64,9.0000,1605.4505,3.3447,0.1114
3,60,64,9.0000,1605.3928,3.3446,0.1098
0,60,128,1.0000,101.8297,0.2121,0.0000
1,60,128,1.0000,101.8297,0.2121,0.0000
2,60,128,1.0000,101.8306,0.2121,0.0000
3,60,128,1.0000,101.8306,0.2121,0.0000
0,60,128,2.0000,200.2489,0.4172,0.0000
1,60,128,2.0000,200.2489,0.4172,0.0000
