# port,duration,pkt_size,rate,mbps,mpps,loss
0,60,64,1.0000,179.4192,0.3738,0.0000
1,60,64,1.0000,179.4145,0.3738,0.0026
2,60,64,1.0000,179.4191,0.3738,0.0000
3,60,64,1.0000,179.4196,0.3738,0.0000
0,60,64,2.0000,358.8131,0.7475,0.0079
1,60,64,2.0000,358.6816,0.7473,0.0452
2,60,64,2.0000,358.8448,0.7476,0.0000
3,60,64,2.0000,358.8408,0.7476,0.0004
0,60,64,3.0000,527.5330,1.0990,0.0995
1,60,64,3.0000,527.1926,1.0983,0.1575
2,60,64,3.0000,529.2230,1.1025,0.0126
3,60,64,3.0000,529.2855,1.1027,0.0009
0,60,64,4.0000,713.6589,1.4868,0.5262
1,60,64,4.0000,715.3495,1.4903,0.2831
2,60,64,4.0000,717.5018,1.4948,0.0298
3,60,64,4.0000,717.5863,1.4950,0.0174
0,60,64,5.0000,678.4328,1.4134,24.2723
1,60,64,5.0000,660.3791,1.3758,26.2875
2,60,64,5.0000,894.5550,1.8637,0.0629
3,60,64,5.0000,895.0803,1.8647,0.0357
0,60,64,6.0000,670.6841,1.3973,37.5994
1,60,64,6.0000,632.5514,1.3178,41.1557
2,60,64,6.0000,1073.1909,2.2358,0.1116
3,60,64,6.0000,1062.2300,2.2130,0.0222
0,60,64,7.0000,745.2140,1.5525,40.5242
1,60,64,7.0000,710.2735,1.4797,43.3205
2,60,64,7.0000,1249.3070,2.6027,0.2320
3,60,64,7.0000,1253.9042,2.6123,0.0525
0,60,64,8.0000,737.7439,1.5370,47.5972
1,60,64,8.0000,694.4471,1.4468,50.6828
2,60,64,8.0000,1404.3626,2.9258,0.1273
3,60,64,8.0000,1409.5614,2.9366,0.0607
0,60,64,9.0000,745.3839,1.5529,53.7250
1,60,64,9.0000,723.5420,1.5074,55.0895
2,60,64,9.0000,1560.7520,3.2516,3.0300
3,60,64,9.0000,1594.9418,3.3228,0.5198
0,60,128,1.0000,210.4638,0.2122,0.0000
1,60,128,1.0000,210.4638,0.2122,0.0000
2,60,128,1.0000,210.4652,0.2122,0.0000
3,60,128,1.0000,210.4642,0.2122,0.0000
0,60,128,2.0000,413.8644,0.4172,0.0044
1,60,128,2.0000,413.8836,0.4172,0.0000
2,60,128,2.0000,413.8532,0.4172,0.0072
3,60,128,2.0000,413.8733,0.4172,0.0025
0,60,128,3.0000,631.2790,0.6364,0.0037
1,60,128,3.0000,631.2524,0.6363,0.0086
2,60,128,3.0000,631.3040,0.6364,0.0007
