port,duration,pkt_size,rate,mbps,mpps,loss
0,60,64,1.0000,179.4201,0.3738,0.0009
1,60,64,1.0000,179.4185,0.3738,0.0019
2,60,64,1.0000,179.4223,0.3738,0.0000
3,60,64,1.0000,179.4177,0.3738,0.0025
0,60,64,2.0000,352.8393,0.7351,0.0059
1,60,64,2.0000,352.8624,0.7351,0.0000
2,60,64,2.0000,352.8546,0.7351,0.0024
3,60,64,2.0000,352.8622,0.7351,0.0000
0,60,64,3.0000,538.1028,1.1210,0.0300
1,60,64,3.0000,538.2238,1.1213,0.0097
2,60,64,3.0000,538.1893,1.1212,0.0173
3,60,64,3.0000,538.2712,1.1214,0.0017
0,60,64,4.0000,717.2845,1.4943,0.0440
1,60,64,4.0000,716.6179,1.4930,0.0489
2,60,64,4.0000,717.6012,1.4950,0.0188
3,60,64,4.0000,715.5332,1.4907,0.0308
0,60,64,5.0000,875.7667,1.8245,0.1199
1,60,64,5.0000,876.0916,1.8252,0.0994
2,60,64,5.0000,881.8728,1.8372,0.0095
3,60,64,5.0000,881.6117,1.8367,0.0394
0,60,64,6.0000,1057.7021,2.2035,1.4488
1,60,64,6.0000,1072.4103,2.2342,0.1518
2,60,64,6.0000,1075.6627,2.2410,0.0351
3,60,64,6.0000,1071.5033,2.2323,0.0299
0,60,64,7.0000,1042.4470,2.1718,16.7094
1,60,64,7.0000,1038.5880,2.1637,17.0224
2,60,64,7.0000,1241.6390,2.5867,0.0287
3,60,64,7.0000,1242.8995,2.5894,0.0527
0,60,64,8.0000,1107.0475,2.3063,21.2967
1,60,64,8.0000,1127.6233,2.3492,19.8277
2,60,64,8.0000,1397.1711,2.9108,0.0467
3,60,64,8.0000,1399.0292,2.9146,0.0630
0,60,64,9.0000,994.5612,2.0720,38.2345
1,60,64,9.0000,999.6489,2.0826,37.8968
2,60,64,9.0000,1603.8241,3.3413,0.0537
3,60,64,9.0000,1606.8797,3.3477,0.0891
0,60,64,10.0000,1014.7195,2.1140,43.2202
1,60,64,10.0000,1017.8981,2.1206,43.0367
2,60,64,10.0000,1790.1588,3.7295,0.0883
3,60,64,10.0000,1781.1931,3.7108,0.0655
0,60,64,11.0000,948.5845,1.9762,50.8713
1,60,64,11.0000,965.5860,2.0116,49.9702
2,60,64,11.0000,1933.9913,4.0291,0.0749
3,60,64,11.0000,1926.2570,4.0130,0.0773
0,60,64,12.0000,1132.4673,2.3593,47.1154
1,60,64,12.0000,1120.7081,2.3348,47.6587
2,60,64,12.0000,2141.4087,4.4613,0.0797
3,60,64,12.0000,1957.9714,4.0791,8.3653
0,60,64,13.0000,1110.3018,2.3131,52.1273
1,60,64,13.0000,1143.1574,2.3816,50.6786
2,60,64,13.0000,2085.2060,4.3442,9.8555
3,60,64,13.0000,2109.2926,4.3944,8.8630
0,60,128,1.0000,206.9510,0.2086,0.0000
1,60,128,1.0000,206.9520,0.2086,0.0000
2,60,128,1.0000,206.9523,0.2086,0.0000
3,60,128,1.0000,206.9523,0.2086,0.0000
0,60,128,2.0000,420.9066,0.4243,0.0000
1,60,128,2.0000,420.9076,0.4243,0.0000
2,60,128,2.0000,420.8729,0.4243,0.0078
3,60,128,2.0000,420.9005,0.4243,0.0000
0,60,128,3.0000,631.2728,0.6364,0.0050
1,60,128,3.0000,631.2897,0.6364,0.0029
2,60,128,3.0000,631.1547,0.6362,0.0245
3,60,128,3.0000,631.3038,0.6364,0.0010
0,60,128,4.0000,841.6627,0.8485,0.0000
1,60,128,4.0000,841.4978,0.8483,0.0202
2,60,128,4.0000,841.6227,0.8484,0.0054
3,60,128,4.0000,841.5973,0.8484,0.0085
0,60,128,5.0000,1051.8618,1.0603,0.0310
1,60,128,5.0000,1052.1188,1.0606,0.0138
2,60,128,5.0000,1052.2209,1.0607,0.0046
3,60,128,5.0000,1052.2633,1.0607,0.0000
0,60,128,6.0000,1241.3387,1.2513,0.0066
1,60,128,6.0000,1240.6932,1.2507,0.0607
2,60,128,6.0000,1241.2173,1.2512,0.0216
3,60,128,6.0000,1241.4437,1.2515,0.0029
0,60,128,7.0000,1471.0382,1.4829,0.0672
1,60,128,7.0000,1471.8650,1.4837,0.0364
2,60,128,7.0000,1472.2077,1.4841,0.0304
3,60,128,7.0000,1467.5593,1.4794,0.0234
0,60,128,8.0000,1678.9753,1.6925,0.1223
1,60,128,8.0000,1679.5008,1.6930,0.1139
2,60,128,8.0000,1683.0843,1.6967,0.0223
3,60,128,8.0000,1682.8843,1.6965,0.0150
0,60,128,9.0000,1846.6300,1.8615,0.2065
1,60,128,9.0000,1847.8188,1.8627,0.0784
2,60,128,9.0000,1861.0326,1.8760,0.0359
3,60,128,9.0000,1861.3871,1.8764,0.0169
0,60,128,10.0000,2088.1977,2.1050,0.5892
1,60,128,10.0000,2097.2347,2.1141,0.0710
2,60,128,10.0000,2103.5981,2.1206,0.0221
3,60,128,10.0000,2102.7684,2.1197,0.0351
0,60,128,11.0000,2300.6952,2.3192,0.4211
1,60,128,11.0000,2303.9627,2.3225,0.2402
2,60,128,11.0000,2310.5720,2.3292,0.0315
3,60,128,11.0000,2309.5764,2.3282,0.0449
0,60,128,12.0000,2382.3799,2.4016,3.7657
1,60,128,12.0000,2446.5758,2.4663,1.2819
2,60,128,12.0000,2461.5012,2.4814,0.0868
3,60,128,12.0000,2467.4447,2.4873,0.0480
0,60,128,13.0000,2337.0187,2.3559,14.2837
1,60,128,13.0000,2392.2936,2.4116,12.2449
2,60,128,13.0000,2705.7912,2.7276,0.0511
3,60,128,13.0000,2721.9331,2.7439,0.0541
0,60,128,14.0000,2057.5066,2.0741,29.9126
1,60,128,14.0000,2140.0727,2.1573,27.0880
2,60,128,14.0000,2913.6595,2.9372,0.0682
3,60,128,14.0000,2918.1671,2.9417,0.0443
0,60,128,15.0000,2099.8413,2.1168,32.1113
1,60,128,15.0000,2074.9255,2.0917,32.9300
2,60,128,15.0000,3051.4252,3.0760,0.1113
3,60,128,15.0000,3085.5288,3.1104,0.0563
0,60,128,16.0000,2124.7339,2.1419,36.6857
1,60,128,16.0000,2117.7704,2.1348,36.9096
2,60,128,16.0000,3348.9469,3.3760,0.0578
3,60,128,16.0000,3354.5968,3.3816,0.0765
0,60,128,17.0000,2126.9730,2.1441,40.3201
1,60,128,17.0000,2119.1364,2.1362,40.5494
2,60,128,17.0000,3570.5540,3.5993,0.0721
3,60,128,17.0000,3558.6325,3.5873,0.0723
0,60,128,18.0000,2310.4395,2.3291,37.6658
1,60,128,18.0000,2278.0702,2.2964,38.5182
2,60,128,18.0000,3714.2771,3.7442,0.0645
3,60,128,18.0000,3702.9382,3.7328,0.0511
0,60,128,19.0000,2247.3917,2.2655,43.5476
1,60,128,19.0000,2315.0032,2.3337,41.7968
2,60,128,19.0000,3986.9674,4.0191,0.0775
